Channel,Subs
Lexa,3.93M
Fran & Família,3.93M
Amy Scarlet,3.92M
DandoTrela,3.92M
Marianna Santos Oficial,3.91M
Lore Improta Oficial,3.91M
Turma do Pagode,3.91M
UOL,3.9M
Rê Andrade,3.9M
Lokis,3.88M
Vivo,3.88M
Som Livre,3.88M
Mateus Kim,3.88M
Jeipy,3.88M
Lanioso,3.88M
Maori Blue,3.87M
Pânico Jovem Pan,3.86M
TV Aparecida,3.85M
Preto no Branco,3.85M
La Fênix,3.85M
iLance7i,3.85M
O (sur)real mundo de Any Malu,3.84M
Hud Souza,3.83M
Barbixas,3.82M
LOS GRANDES,3.82M
Mc Marks,3.82M
MELODY OFICIAL,3.81M
Kathy Castricini,3.81M
Cristiano Araújo,3.81M
IchBinJulia,3.81M
Família Maloucos,3.81M
Dika da Naka,3.8M
Jonatan Santos,3.79M
Malone e Cadu,3.79M
Biollo,3.78M
Pablo Oficial,3.78M
Lucas Vlogs,3.78M
GRAZI ARLEQUINA,3.78M
Marcos e Belutti,3.77M
DC Kids Brasil,3.76M
RECORD,3.74M
BECCA,3.74M
MateiFormiga,3.73M
The Master Invenções,3.73M
Super Comedia,3.72M
DudaBlox,3.72M
RETARDA MARQUES,3.71M
PEIXE,3.71M
ANAVITÓRIA,3.71M
Felca,3.7M
CAFA,3.7M
BiBiPam Tv,3.7M
Kevin O Chris,3.7M
Dentista do Aparelho,3.7M
Michelle Almendra,3.69M
Jaqueline Guerreiro,3.69M
Little Baby Bum em Português,3.69M
Brasil Paralelo,3.68M
Drauzio Varella,3.68M
Gloria Groove,3.67M
A Fazenda,3.66M
Delegado da Cunha,3.66M
LegTransito Ronaldo Cardoso,3.65M
Marcos Aba Matemática,3.65M
Tzy Games,3.65M
meu nome é david,3.65M
Rato Borrachudo,3.65M
Orochi,3.64M
KingOfYouTube,3.64M
Portal Wheeling,3.63M
Biel,3.63M
Sophia Pointis,3.63M
Uniduni T,3.62M
Alex Mapeli,3.62M
Irmãos Villa,3.61M
Débora Aladim,3.61M
Xafurdaria,3.6M
3Sskaters,3.6M
Peter Liu,3.6M
Gien Liu,3.6M
Lives do alanzoka,3.6M
Diário das Gêmeas,3.58M
Marina Inspira,3.58M
Ana Maria Brogui,3.58M
Julia Antenada,3.57M
WB Kids Brasil,3.57M
Tua Saúde,3.56M
PRISCILLA,3.56M
Caio Abou Hana,3.55M
Amanda Wanessa,3.55M
Futebol 24 Horas,3.55M
Record News,3.54M
Cats Family em Português Brasil,3.54M
BBC News Brasil,3.54M
iFutGol,3.54M
Goiabapool,3.54M
Tarcisio do Acordeon,3.52M
Teteu Tutors,3.52M
YouANDi Games,3.51M
Lauana Prado,3.51M
MC Cabelinho,3.51M
Canal Kimberlly e Kyann,3.5M
O Jean Luca,3.5M
Gis com Giz Matemática,3.5M
Angela Xavier,3.49M
Sherby,3.49M
L7NNON,3.49M
Paulo Jubilut,3.49M
Morphle em Português - Desenhos A…,3.48M
Felipe Calixto,3.47M
Aline Barros,3.47M
Tou Ligado,3.47M
Dr Juliano Teles,3.47M
MANSÃO MAROMBA,3.47M
Brenda Bauer,3.46M
Silver Lari,3.44M
Juaum,3.44M
Igor e Gabriel Barroso,3.44M
FP do Trem Bala,3.44M
Gabriela Almeida,3.43M
Mada e Bica,3.43M
HAIKAISS OFICIAL,3.43M
Rap Box,3.43M
Planeta Novo,3.42M
Família Masudinha,3.42M
Priscilinha,3.42M
Carol Bresolin,3.41M
MTV Brasil,3.41M
Gallen,3.41M
Love Funk House,3.41M
Nando Moura,3.41M
Balian,3.41M
MC NEGÃO DA BL,3.4M
Cisco Animado,3.4M
123 GO! CHALLENGE Portuguese,3.39M
Os Pequerruchos,3.39M
Amanda Nathanry,3.39M
Dany Martines,3.39M
Nerds de Negócios,3.39M
Canaltech,3.38M
Ider Alves - DIY Moda Fashion,3.38M
LEO STRONDA,3.38M
Zaze Blox,3.38M
TvCostaGold,3.37M
George o Curioso em Português,3.37M
Peter Aqui,3.37M
Oddbods Brasil,3.36M
Agnes Melo,3.36M
Japinha Conde,3.36M
Amado Batista,3.35M
Nerdologia,3.35M
Talentoshow Cast,3.35M
Boquinha,3.33M
Nobreza Games,3.33M
Camila Coelho Português,3.33M
Filtr Music Brasil,3.33M
HERO Dengoso,3.33M
Autor da Própria Saúde,3.33M
Bruno Duarte,3.32M
Maiores do Mundo,3.32M
O Alto Falante,3.32M
Dentista Musical,3.31M
Canal Sr. Nescau,3.31M
Bitgamer,3.31M
Tati Nunes,3.31M
MAPA PRONTO,3.29M
PodPeople - Ana Beatriz Barbosa,3.29M
Pedrinho e Tilipe,3.29M
Pe Marcelo Rossi,3.28M
NiceNienke,3.28M
Manual do Homem Moderno,3.28M
Claro Brasil,3.28M
João Pedro Brincadeiras e Divers�…,3.27M
LooLoo Kids Português - Músicas …,3.26M
Zolard,3.26M
Roni Ficher,3.26M
Discovery Home & Health Brasil,3.26M
CUNHALUCASS,3.25M
Ana Castela,3.25M
Leandro Twin,3.25M
Keira Riff,3.25M
Gabriel Diniz,3.25M
AtilaKw,3.25M
Alec Sants,3.23M
Diva Depressão,3.23M
Alex Granig,3.23M
Ir Kelly Patricia OFICIAL / Instit…,3.22M
Paulistão,3.22M
Gabriel e Shirley - Games,3.21M
Nandu Andrade,3.21M
Ben e Holly em Português Brasil -…,3.21M
Rafael Sotto,3.21M
Mundo Canibal,3.21M
Michel Teló,3.21M
Felipe Melchiori,3.21M
Adilson Figueira,3.21M
Professor Ferretto,3.2M
Sthefane Matos,3.2M
DinoSonso,3.19M
Canal MC Livinho,3.19M
Rayne Oficial,3.19M
Bird Ninja,3.19M
Franksângela,3.19M
Mundo Desconhecido,3.19M
Hi-hi-lário,3.19M
Domingo Show,3.18M
Xracing Videos,3.18M
Leonardo,3.18M
Letícia Pedro,3.17M
O Show da Luna!,3.17M
Dr Lucas Fustinoni,3.17M
Tiago Brunet,3.16M
Kemuel,3.16M
Lais Oliveira,3.16M
Jado Paródias,3.16M
Chef Léo Oliveira,3.15M
Funky Black Cat,3.15M
Depois das Onze,3.15M
João Gimenes,3.15M
Raça Negra,3.15M
Israel & Rodolffo,3.15M
ALLISON ZO DETONA FUNK,3.15M
Zezão,3.15M
Random Channel Ketelin,3.14M
Arte e Cia Brasil - Pádua Bastos,3.14M
Cleo e Cuquin - Música infantil e…,3.13M
VINIBUG,3.13M
Bárbara Coura,3.13M
Thiaguinho,3.13M
Diego e Victor Hugo,3.13M
Nah Cardoso,3.12M
Mundo da Menina,3.12M
Sunaika Bruna,3.12M
Gustavo Sena,3.11M
AllissonGOD,3.11M
Bauers,3.1M
WowShow,3.1M
Lulu Plays,3.1M
RAFAH MARTINS,3.09M
saiko,3.09M
Davy Jones,3.09M
LOUD MOB,3.09M
Blippi em Português,3.09M
BEIJINHOS DA GI,3.08M
Cassito,3.07M
Rafinha Bastos,3.07M
CASA Worship,3.07M
Junior Manella,3.06M
HUEstation,3.06M
MS2,3.06M
Laadin,3.05M
HeyBiel,3.05M
Miss Gaby e Família,3.04M
Kauan Russell,3.04M
Canal Cahcildis,3.04M
Bruna Louise,3.04M
AssombradO.com.br,3.04M
LevelUp 007,3.04M
Não Adivinho,3.03M
Jerry Smith,3.03M
HeyKroni,3.03M
FLUXO,3.02M
James WO,3.02M
Igor Wender,3.02M
Gabriel Gomes,3.02M
AranhaMaster,3.02M
Pesadelo na Cozinha,3.01M
Nerd Land,3.01M
Márcia A Fenomenal,3.01M
Juliana Aliende,3.01M
Brezaau,3M
Sofia Santino,3M
SejaUmaPessoaMelhor,3M
Ana Mosconi,2.99M
Caue Fantin,2.99M
NeuroVox,2.99M
Forever Player,2.99M
Natureba,2.98M
Mundo dos CriptoTraders,2.98M
Dr. Renato Silveira,2.97M
Bruna Gomes,2.97M
Ivete Sangalo,2.97M
NOVO ROSA,2.97M
Mohamad Hindi,2.97M
Neymagico,2.96M
Zé Ramalho,2.96M
Cortes Da Sofia Tube,2.96M
Gatinha das Artes,2.96M
Léo Magalhães,2.95M
Onerb,2.95M
Léo o caminhão,2.95M
Rodrigo Silva Arqueologia,2.94M
Mundo Bizarro /Jr,2.93M
CoComelon em Português - Músicas…,2.93M
VALENTINA SOBRINHO E FAMÍLIA,2.92M
Sweet Carol,2.91M
Cauã Macedo,2.91M
Rikinho,2.91M
Tô Solto,2.91M
GR6 FLUXOS,2.9M
Mairo Vergara,2.9M
Felps,2.9M
Christian Sonic ♪,2.9M
Montalvão,2.9M
Saúde da Mente,2.89M
SrPedro,2.89M
Super Toons TV em Português Brasi…,2.89M
SofiaS Furlani,2.89M
Atração Divulga,2.89M
LOUD VOLTAN,2.88M
BlackN444,2.88M
Dr. Roberto Yano,2.88M
TATI ZAQUI,2.88M
