Channel,Subs
Md Rasel Alam,100K
Lost,100K
Pndrawing,100K
Sandra Thoen,100K
Limbo,100K
Elite Backing Tracks,99K
Julie Bergan,98.5K
AXIOM COMBAT,98.3K
Walker Gaming,98.1K
DenBesteDubbenEver,97.9K
Girtania,97.8K
Ane Li,97.3K
0mayauwu0,97.2K
Maria Mena,97K
BetterCallJimmy,96.6K
timeanddate,96.5K
Norwegian Teacher - Karin,96.1K
StordLufthamn,96.1K
Spårtsklubben VGTV,96K
NRK Super,95.6K
Gilmakeup,95.5K
??????? ???????₍ ᐢ.ˬ.ᐢ₎˚…,95.4K
Kiresh   كريش,95.1K
League of rappers & Delinquents,94.7K
Anonsi,94.7K
Eveline Karlsen,94.2K
SANATBEK UZ,93.7K
Paula M Channel,93.6K
Cosmo Clips,93.3K
Енотик Стив,92.8K
منوعات monawat,92.7K
Audun Ommedal,92.6K
Nellie,92.5K
GoatStep,92.4K
Peace of Mind - Positive Vibration,92.4K
SHAYX SABOQLARI,92.2K
Makmian,91.7K
Oslo Mela,91.6K
SOADScarsSerjHD,91.5K
Dieter Schneider,91.4K
Disney Channel Norge,91.4K
Victoria Skau,91.3K
Marewel,91.1K
Mina Jacobsen,90.8K
sisselfan,90.7K
Lost My Sanity,90.4K
Ferhod,90.3K
Dulle,90.3K
Espen Kraft,90K
Farah Style,89.8K
RunicTitan,89.7K
Jan Scaniamann,89.7K
Grim,89.7K
محمد نزار Mohammed Nazar,89.5K
Apparel Illustrated,88.8K
RybakAS. Fishing and Traveling,88.6K
Fahre Films,88.3K
TGC,87.6K
LineChu,87.6K
Nicole & família na Noruega,87.3K
mikkybkk,87.2K
MakingNightcore,87.2K
FloGgers Family,86.9K
ZAMI FILMS,86.9K
Ane Brun,86.7K
Until Sabah Media,86.6K
Zeyo,86.3K
Wah Fish Paste,85.7K
nyhrox,85.5K
Machine World,85.5K
Lasse Gjertsen,85.4K
6 th Sense Perfumes الحاسة �…,85.3K
Simple Recipes Kitchen,84.9K
Stina Talling,84.9K
ThaleTot,84.5K
DelightfulDose,84.2K
Ruben og Sondre,84.1K
This Amazing World,84.1K
KENORKUT talk show samuel mengistu…,84.1K
Become Legends,84K
Happy Little Babies Nursery Rhymes,84K
Forceisdown,83.6K
