Name,Followers
A S H L E Y  G R A H A M,"21,659,705"
Marcos Mion,"21,640,303"
Adam Sandler,"21,613,497"
F I L M Y G Y A N,"21,588,932"
Rafa Kalimann,"21,580,890"
dixie,"21,523,457"
FashionNova.com,"21,478,141"
Úrsula Corberó ?,"21,440,783"
Thalia,"21,344,164"
Fendi,"21,340,177"
Camila Queiroz,"21,321,465"
PewDiePie,"21,318,668"
Oki Setiana Dewi,"21,258,061"
Jeremy Renner,"21,217,306"
Vijay Deverakonda,"21,196,094"
lena mantler,"21,150,447"
Iran Ferreira,"21,126,454"
송강,"21,120,498"
tini,"21,119,476"
Wonderful Places,"21,114,901"
Ксения Бородина,"21,105,908"
Evaluna Montaner de Echeverry,"21,069,828"
Hugo Gloss,"21,067,739"
Lucas Vázquez,"21,033,862"
Neha Sharma ?,"21,008,537"
disruptiv & faithfull,"21,002,598"
Rafa Nadal,"20,994,982"
BZRP,"20,965,471"
hailee steinfeld,"20,927,747"
Arturo Vidal,"20,910,982"
GoPro,"20,899,795"
???? ?????,"20,870,707"
MAKE OUT HILL,"20,795,365"
Ram Charan,"20,778,731"
James Charles,"20,729,450"
Lana Del Rey,"20,729,037"
Peyton List,"20,719,300"
Enzo Zelocchi,"20,715,462"
Liza Koshy,"20,713,619"
Emma Roberts,"20,711,626"
KIRK,"20,700,036"
Taapsee Pannu,"20,662,095"
Jessica Alba,"20,629,004"
Iker Casillas,"20,615,121"
GKAY,"20,615,047"
MTV,"20,614,408"
Mark Ruffalo,"20,556,729"
Kathryn Bernardo ?,"20,535,594"
Barbara Palvin,"20,535,370"
John Cena,"20,486,650"
Anne Curtis,"20,435,671"
NALDO ⭐️,"20,420,409"
Caio Castro,"20,403,985"
Big Brother Brasil,"20,403,365"
ussy sulistiawaty,"20,383,444"
CHOQUEI,"20,383,384"
alghazaliköhler,"20,373,480"
Emilio,"20,366,792"
???????,"20,353,363"
dwyanewade,"20,353,154"
Juliaperez,"20,338,234"
Lexa,"20,288,074"
Achraf Hakimi,"20,281,490"
Hannah El-Zahed,"20,280,623"
LOVE,"20,270,874"
Emporio Armani,"20,224,389"
Sofia Carson,"20,223,572"
13,"20,223,201"
Discovery,"20,173,429"
Adam Weitsman,"20,161,792"
Burberry,"20,157,105"
Mark Pugachev,"20,146,138"
ITZY,"20,140,191"
Stranger Things Netflix,"20,131,179"
21savage,"20,110,042"
Keylor Navas Gamboa,"20,101,707"
Juliana Salimeni ?,"20,029,694"
DJ JENNA CHEW 周甄娜,"20,010,655"
Red Bull,"19,960,180"
Yami Gautam Dhar,"19,960,106"
Eugenio Derbez,"19,947,559"
Elissa,"19,915,563"
BIANCA,"19,912,874"
Demi ?,"19,897,358"
TYRESE,"19,888,631"
hasan reyvandi حسن ریوندی,"19,881,323"
Inul Daratista,"19,857,518"
Hélà,"19,847,345"
CNN,"19,836,031"
Giovanna Antonelli,"19,801,731"
Instant Bollywood,"19,799,254"
Borussia Dortmund,"19,798,563"
SOMI,"19,787,386"
Rosie HW,"19,773,461"
Ye,"19,734,206"
Deolane Bezerra ⚖️,"19,670,690"
NikkieTutorials,"19,652,015"
Jaden Smith,"19,645,890"
Salice Rose,"19,614,897"
Camila Loures,"19,554,826"
Aliando Syarief,"19,522,974"
Anton Tregubov,"19,516,691"
Maudy Ayunda,"19,508,705"
BBC NEWS فارسی,"19,502,274"
황인엽,"19,492,488"
Hoyeon,"19,481,448"
Yuvraj Singh,"19,472,181"
Leonardo,"19,467,985"
Perrie ?,"19,451,183"
Rick Ross,"19,433,822"
Michael Kors,"19,408,119"
Chance The Rapper,"19,339,944"
Luisa Fernanda W,"19,287,025"
Jorge e Mateus,"19,277,091"
Madonna,"19,272,063"
President Joe Biden,"19,254,679"
TURKI ALALSHIKH تركي آل ا…,"19,250,986"
Flamengo,"19,246,377"
Daniella Chavez,"19,206,692"
TaeYeon,"19,197,000"
rauwalejandro,"19,100,063"
Flavia Pavanelli,"19,085,663"
???? ????,"19,076,739"
남주혁,"19,049,126"
Valentino,"19,027,320"
Ahmed Helmy,"19,007,759"
Bretman Rock,"18,966,750"
Iis Dahlia,"18,957,217"
Enrique Iglesias,"18,940,888"
Paul Walker,"18,932,732"
KL Rahul?,"18,924,351"
Anastasia Beverly Hills,"18,921,491"
Instagram for Business,"18,834,302"
Malaika Arora,"18,830,900"
Lil Wayne,"18,823,512"
Bhuvan Bam,"18,799,240"
Joe Rogan,"18,743,468"
bright,"18,729,661"
Joey King,"18,727,097"
د. الفطين بن حسين ا�…,"18,703,825"
Motaz Azaiza مُعْتَز عزا…,"18,617,841"
Kartika Putri,"18,569,233"
nissa_sabyan,"18,543,635"
Ricky Martin,"18,541,270"
Tiwa Savage,"18,515,248"
Mahe Man,"18,510,387"
Darshan Raval,"18,500,018"
Chris Evans,"18,499,896"
JJ Communication,"18,476,568"
David Michigan ⚡️,"18,439,120"
Baim Wong,"18,433,342"
Radio Javan,"18,432,063"
Pevita Pearce,"18,403,607"
Lonzo Ball,"18,390,918"
Auron,"18,310,132"
Sasha Pieterse Sheaffer,"18,296,563"
İbrahim Yılmaz️,"18,227,050"
Mirella Santos,"18,224,083"
A$AP ROCKY,"18,207,218"
Liza Soberano,"18,188,309"
Ludacris,"18,146,818"
davikah,"18,134,439"
Meghan Trainor,"18,128,720"
이동욱 (Official_Instagram),"18,128,346"
Charlie Puth,"18,119,563"
Hyuna Kim,"18,114,436"
Ana Hickmann,"18,101,208"
НАСТЯ ИВЛЕЕВА,"18,087,067"
Ayushmann Khurrana,"18,036,577"
TNT Sports Brasil,"18,035,905"
Louis Tomlinson,"18,032,678"
Kate Hudson,"18,024,943"
The New York Times,"18,008,887"
beIN SPORTS,"18,002,109"
Alexis Ren,"17,990,948"
Rossa,"17,968,669"
Shakti Mohan,"17,955,512"
el rubius WTF,"17,955,165"
Андрей Золотов ? SM…,"17,941,427"
PrettyLittleThing,"17,929,870"
Ricky Harun,"17,929,163"
GERMAN,"17,897,514"
Starbucks,"17,888,361"
Inanna,"17,879,580"
Sydney Sweeney,"17,873,035"
Yemi Alade,"17,852,310"
Vikki Al Chester ?,"17,802,946"
Iggy Azalea,"17,782,500"
"HONOR,LEALTAD Y RESPETO.","17,771,386"
BamBam,"17,762,571"
Sou Eu Na Vida,"17,743,307"
Odell Beckham Jr,"17,727,357"
IZA,"17,694,382"
Citra Kirana,"17,687,104"
Kashika Kapoor,"17,668,059"
Pepe,"17,661,148"
Gwen Stefani,"17,653,781"
Shehnaaz Gill,"17,627,777"
Tainá Costa,"17,618,290"
Syifa Hadju,"17,608,757"
Tammy ?,"17,605,736"
Ronda Rousey,"17,600,671"
أحمد الشقيري,"17,588,343"
Drew Barrymore,"17,586,441"
Falcao,"17,553,284"
Neymar Jr Site,"17,552,893"
Keerthy Suresh,"17,523,609"
Ivan Rakitic,"17,491,029"
Jordi Alba,"17,487,175"
Little Mix,"17,468,804"
Jimmy Neutch,"17,466,996"
Emily Garcia,"17,459,305"
Shikhar Dhawan,"17,459,015"
Lucas Lucco,"17,451,703"
Jennifer Winget,"17,448,185"
Jamie Foxx,"17,441,969"
Pelé Foundation,"17,425,493"
Felipe Neto ?,"17,404,700"
Blac Chyna ?,"17,389,448"
Audi USA,"17,383,634"
Amit Majithia,"17,379,979"
Sly Stallone,"17,379,088"
"Nicole ""Snooki"" ?","17,375,062"
Mr. Thank You,"17,331,487"
SIMBA..!?,"17,327,222"
Wanda Nara,"17,293,609"
Bastian Schweinsteiger,"17,278,130"
MC DANIEL ? FALCÃO DO FUNK,"17,274,676"
Mercedes-AMG,"17,266,861"
KAROL SEVILLA,"17,262,586"
NCT Official Instagram,"17,221,747"
